,timestamp,open,high,low,close,volume
0,2022-12-31 16:00:00,16590.1,16613.3,16565.1,16570.14,16498.87510000
1,2022-12-31 20:00:00,16570.14,16574.97,16470.0,16542.4,17909.48676000
2,2023-01-01 00:00:00,16541.77,16559.77,16508.39,16533.04,15515.82327000
3,2023-01-01 04:00:00,16533.04,16550.0,16499.01,16526.19,16532.24115000
4,2023-01-01 08:00:00,16525.7,16557.0,16505.2,16556.66,15915.96701000
5,2023-01-01 12:00:00,16556.66,16572.94,16533.68,16558.73,15046.09096000
6,2023-01-01 16:00:00,16558.73,16623.65,16558.0,16603.08,18532.64857000
7,2023-01-01 20:00:00,16603.53,16628.0,16586.24,16616.75,15382.64278000
8,2023-01-02 00:00:00,16617.17,16707.25,16548.7,16661.94,19463.47510000
9,2023-01-02 04:00:00,16662.38,16769.51,16619.44,16721.28,26026.88178000
10,2023-01-02 08:00:00,16721.27,16772.01,16704.07,16735.11,23267.94119000
11,2023-01-02 12:00:00,16735.51,16750.0,16669.15,16734.66,21747.21491000
12,2023-01-02 16:00:00,16734.66,16739.64,16707.12,16737.56,12314.73653000
13,2023-01-02 20:00:00,16737.56,16799.23,16660.51,16672.87,19068.32240000
14,2023-01-03 00:00:00,16672.78,16706.14,16647.81,16691.81,20183.45596000
15,2023-01-03 04:00:00,16691.81,16778.4,16681.79,16729.74,21434.34333000
16,2023-01-03 08:00:00,16730.15,16766.0,16698.15,16721.03,25576.16376000
17,2023-01-03 12:00:00,16721.42,16773.0,16617.79,16676.94,42131.78382000
18,2023-01-03 16:00:00,16677.54,16688.2,16605.28,16643.37,29519.13275000
19,2023-01-03 20:00:00,16643.77,16695.0,16640.4,16675.18,20696.65771000
20,2023-01-04 00:00:00,16675.65,16877.65,16652.66,16862.02,41904.57254000
21,2023-01-04 04:00:00,16862.61,16910.98,16840.36,16869.44,30270.25310000
22,2023-01-04 08:00:00,16869.49,16919.0,16831.13,16835.35,30320.64004000
23,2023-01-04 12:00:00,16835.35,16863.09,16765.3,16854.05,40843.05953000
24,2023-01-04 16:00:00,16853.55,16991.87,16787.85,16842.36,52076.35176000
25,2023-01-04 20:00:00,16842.32,16869.56,16777.0,16850.36,24947.31165000
26,2023-01-05 00:00:00,16850.36,16878.18,16807.72,16827.71,21763.76721000
27,2023-01-05 04:00:00,16827.71,16849.37,16789.87,16823.64,21213.55835000
28,2023-01-05 08:00:00,16823.05,16839.0,16780.75,16833.6,26296.22105000
29,2023-01-05 12:00:00,16833.6,16879.82,16753.0,16842.94,41963.23448000
30,2023-01-05 16:00:00,16842.94,16875.5,16800.5,16863.85,30157.46450000
31,2023-01-05 20:00:00,16864.29,16873.52,16818.91,16831.85,22079.32082000
32,2023-01-06 00:00:00,16831.85,16872.57,16802.01,16833.56,22896.56633000
33,2023-01-06 04:00:00,16833.56,16837.87,16779.96,16794.06,24759.51652000
34,2023-01-06 08:00:00,16794.33,16812.22,16709.88,16738.22,29976.56156000
35,2023-01-06 12:00:00,16738.74,16849.0,16679.0,16840.82,52584.91113000
36,2023-01-06 16:00:00,16840.1,16965.41,16805.04,16939.91,42771.69765000
37,2023-01-06 20:00:00,16940.41,17041.0,16886.21,16950.65,34412.03096000
38,2023-01-07 00:00:00,16950.31,16981.91,16930.46,16952.46,17943.00432000
39,2023-01-07 04:00:00,16952.73,16954.45,16922.14,16948.09,15480.43183000
40,2023-01-07 08:00:00,16948.18,16954.95,16908.07,16918.3,18936.72265000
41,2023-01-07 12:00:00,16918.3,16947.7,16908.0,16940.42,20650.09476000
42,2023-01-07 16:00:00,16940.6,16946.13,16916.0,16944.05,16073.99982000
43,2023-01-07 20:00:00,16944.05,16951.92,16929.46,16943.57,15442.31542000
44,2023-01-08 00:00:00,16943.83,16955.0,16911.0,16944.02,18295.79671000
45,2023-01-08 04:00:00,16944.02,16957.12,16933.26,16953.77,14667.61069000
46,2023-01-08 08:00:00,16953.77,16967.67,16925.05,16927.42,20434.41029000
47,2023-01-08 12:00:00,16927.42,17019.79,16920.37,17000.43,23086.53831000
48,2023-01-08 16:00:00,17000.43,17022.08,16916.1,16927.25,23557.66783000
49,2023-01-08 20:00:00,16927.25,17176.99,16924.41,17127.83,35113.87312000
50,2023-01-09 00:00:00,17127.83,17252.6,17104.66,17197.0,50799.16414000
51,2023-01-09 04:00:00,17197.0,17262.56,17180.0,17198.48,33546.34885000
52,2023-01-09 08:00:00,17198.01,17285.48,17186.95,17238.93,38468.19722000
